,time,cpu_instance,cpu_value,memory_instance,memory_value
0,1596499200,10.11.0.155:9091,0.37913333333336635,10.11.0.155:9091,0.29103412514443994
1,1596499800,10.11.0.155:9091,0.5996000000001049,10.11.0.155:9091,0.29331331494720536
2,1596500400,10.11.0.155:9091,0.5874000000000091,10.11.0.155:9091,0.2930547911256909
3,1596501000,10.11.0.155:9091,0.48873333333323676,10.11.0.155:9091,0.2932090594311182
4,1596501600,10.11.0.155:9091,0.5393333333332847,10.11.0.155:9091,0.29299756256077425
5,1596502200,10.11.0.155:9091,0.574318018186171,10.11.0.155:9091,0.29349346051676894
6,1596502800,10.11.0.155:9091,0.7444666666665983,10.11.0.155:9091,0.293796771910827
7,1596503400,10.11.0.155:9091,0.5739333333333574,10.11.0.155:9091,0.28840385053690343
8,1596504000,10.11.0.155:9091,0.6846666666668161,10.11.0.155:9091,0.2891950976518374
9,1596504600,10.11.0.155:9091,0.6739378262521796,10.11.0.155:9091,0.2895780313970836
10,1596505200,10.11.0.155:9091,0.6496666666667218,10.11.0.155:9091,0.2887412502500639
11,1596505800,10.11.0.155:9091,0.656600000000072,10.11.0.155:9091,0.2895150799756754
12,1596506400,10.11.0.155:9091,0.6128040853604749,10.11.0.155:9091,0.2902515867241673
13,1596507000,10.11.0.155:9091,0.6078666666665983,10.11.0.155:9091,0.2927888027087524
14,1596507600,10.11.0.155:9091,0.6119333333331693,10.11.0.155:9091,0.2930490682691992
15,1596508200,10.11.0.155:9091,0.6916758890118949,10.11.0.155:9091,0.29348649356103995
16,1596508800,10.11.0.155:9091,0.6934000000000295,10.11.0.155:9091,0.2937052062069604
17,1596509400,10.11.0.155:9091,0.6121292524716315,10.11.0.155:9091,0.29282090046907516
18,1596510000,10.11.0.155:9091,0.5398666666666537,10.11.0.155:9091,0.2939520354956442
19,1596510600,10.11.0.155:9091,0.6317999999998416,10.11.0.155:9091,0.28887163185013476
20,1596511200,10.11.0.155:9091,0.689466666666636,10.11.0.155:9091,0.2885974323782301
21,1596511800,10.11.0.155:9091,0.6790666666666335,10.11.0.155:9091,0.2890231631372401
22,1596512400,10.11.0.155:9091,0.737204914699521,10.11.0.155:9091,0.28888656104098265
23,1596513000,10.11.0.155:9091,0.7084666666667553,10.11.0.155:9091,0.30229720435972185
24,1596513600,10.11.0.155:9091,0.949466666666757,10.11.0.155:9091,0.3116468589480096
25,1596514200,10.11.0.155:9091,0.5375333333332364,10.11.0.155:9091,0.2917890445616441
26,1596514800,10.11.0.155:9091,0.4740666666665902,10.11.0.155:9091,0.2925335135452548
