,time,cpu_instance,cpu_value,memory_instance,memory_value
0,1596478200,10.11.1.189:9091,0.16419999999998552,10.11.1.189:9091,0.1700016820221688
1,1596478800,10.11.1.189:9091,0.17166666666693192,10.11.1.189:9091,0.16974763695790862
2,1596479400,10.11.1.189:9091,0.18546666666652223,10.11.1.189:9091,0.16987602799919976
3,1596480000,10.11.1.189:9091,0.19433333333362646,10.11.1.189:9091,0.169768786644943
4,1596480600,10.11.1.189:9091,0.2111999999999505,10.11.1.189:9091,0.16948015562188534
5,1596481200,10.11.1.189:9091,0.19320000000015783,10.11.1.189:9091,0.16956525200971795
6,1596481800,10.11.1.189:9091,0.1987999999999648,10.11.1.189:9091,0.16986707048469107
7,1596482400,10.11.1.189:9091,0.16980000000011009,10.11.1.189:9091,0.16978471111518068
8,1596483000,10.11.1.189:9091,0.19093333333327636,10.11.1.189:9091,0.16946721698981726
9,1596483600,10.11.1.189:9091,0.19246666666657952,10.11.1.189:9091,0.16980909546023215
10,1596484200,10.11.1.189:9091,0.19659999999987735,10.11.1.189:9091,0.16992106439159071
11,1596484800,10.11.1.189:9091,0.198333333333469,10.11.1.189:9091,0.1695975985898882
12,1596485400,10.11.1.189:9091,0.20446666666661714,10.11.1.189:9091,0.16990090998394614
13,1596486000,10.11.1.189:9091,0.19440000000005062,10.11.1.189:9091,0.16966204293038123
14,1596486600,10.11.1.189:9091,0.19366666666686347,10.11.1.189:9091,0.1697685378250956
15,1596487200,10.11.1.189:9091,0.17673333333335448,10.11.1.189:9091,0.1695256896539712
16,1596487800,10.11.1.189:9091,0.181533333333335,10.11.1.189:9091,0.16977799297929919
17,1596488400,10.11.1.189:9091,0.18466666666666695,10.11.1.189:9091,0.16979640564801146
18,1596489000,10.11.1.189:9091,0.16260000000003866,10.11.1.189:9091,0.16981183247855425
19,1596489600,10.11.1.189:9091,0.16939999999974817,10.11.1.189:9091,0.16996012910764247
20,1596490200,10.11.1.189:9091,0.18266666666640355,10.11.1.189:9091,0.16980262614419805
21,1596490800,10.11.1.189:9091,0.1859999999998778,10.11.1.189:9091,0.16970160528612788
22,1596491400,10.11.1.189:9091,0.18433333333326116,10.11.1.189:9091,0.16987727209843706
23,1596492000,10.11.1.189:9091,0.19113333333307003,10.11.1.189:9091,0.1696916524922294
24,1596492600,10.11.1.189:9091,0.20813333333358516,10.11.1.189:9091,0.1696864272754326
25,1596493200,10.11.1.189:9091,0.20386666666665265,10.11.1.189:9091,0.16988672725264076
26,1596493800,10.11.1.189:9091,0.20053333333319645,10.11.1.189:9091,0.16956425673032804
27,1596494400,10.11.1.189:9091,0.20146666666676083,10.11.1.189:9091,0.16941919475925682
28,1596495000,10.11.1.189:9091,0.24266666666676287,10.11.1.189:9091,0.16981606241596114
29,1596495600,10.11.1.189:9091,0.22639999999993202,10.11.1.189:9091,0.16966030119144893
30,1596496200,10.11.1.189:9091,0.19939999999992017,10.11.1.189:9091,0.16956251499139585
31,1596496800,10.11.1.189:9091,0.1774666666667706,10.11.1.189:9091,0.1699213132114381
32,1596497400,10.11.1.189:9091,0.27633333333330173,10.11.1.189:9091,0.16988822017172556
33,1596498000,10.11.1.189:9091,0.2802629298275597,10.11.1.189:9091,0.16979665446785897
34,1596498600,10.11.1.189:9091,0.31206666666687555,10.11.1.189:9091,0.16971678329682316
35,1596499200,10.11.1.189:9091,0.44373333333347087,10.11.1.189:9091,0.1698506483747585
36,1596499800,10.11.1.189:9091,0.47826666666682816,10.11.1.189:9091,0.169598593869278
37,1596500400,10.11.1.189:9091,0.5335333333336174,10.11.1.189:9091,0.1695129998417506
38,1596501000,10.11.1.189:9091,0.5339928800948672,10.11.1.189:9091,0.1698397003014701
39,1596501600,10.11.1.189:9091,0.7991999999999956,10.11.1.189:9091,0.16966925870595762
40,1596502200,10.11.1.189:9091,0.6623333333330499,10.11.1.189:9091,0.16961849945707508
41,1596502800,10.11.1.189:9091,0.624333333333487,10.11.1.189:9091,0.1697610732296717
42,1596503400,10.11.1.189:9091,0.8528950965031068,10.11.1.189:9091,0.1697578385716546
43,1596504000,10.11.1.189:9091,0.8271333333336034,10.11.1.189:9091,0.16972648727087425
44,1596504600,10.11.1.189:9091,0.7407333333333381,10.11.1.189:9091,0.16974042118233224
45,1596505200,10.11.1.189:9091,0.8584057227049686,10.11.1.189:9091,0.1697558480128749
46,1596505800,10.11.1.189:9091,0.7403999999999702,10.11.1.189:9091,0.16958839225553202
47,1596506400,10.11.1.189:9091,0.7180666666666108,10.11.1.189:9091,0.1696774697609239
48,1596507000,10.11.1.189:9091,0.8488666666666282,10.11.1.189:9091,0.1697690354647905
49,1596507600,10.11.1.189:9091,0.6958620275865207,10.11.1.189:9091,0.16967224454412722
50,1596508200,10.11.1.189:9091,0.772733333333465,10.11.1.189:9091,0.16996187084657466
